from,to,mode,base_time_sec,max_speed_kph,district,cost,co2_per_km
BB78,JC15,BUS,338,33,DSTRCT1,2.48,0.08
BB10,JD89,BUS,419,28,DSTRCT8,2.61,0.08
BB47,BA99,BUS,176,32,DSTRCT5,1.26,0.08
JC18,JD07,BUS,217,33,DSTRCT5,1.59,0.08
TC09,JD16,CAR,311,40,DSTRCT6,5.20,0.20
JD05,TC24,CAR,190,52,DSTRCT1,4.13,0.20
JC60,JD85,CAR,226,45,DSTRCT8,4.25,0.20
BB72,BA36,CAR,244,46,DSTRCT5,4.69,0.20
BB64,BA62,BUS,339,24,DSTRCT3,1.81,0.08
BB96,BA47,BUS,482,26,DSTRCT9,2.79,0.08
JC97,TC93,CAR,124,42,DSTRCT1,2.18,0.20
JD56,BA17,CAR,280,51,DSTRCT9,5.97,0.20
BA35,JC18,CAR,13,78,DSTRCT0,0.45,0.20
BB88,BB13,BUS,257,33,DSTRCT9,1.89,0.08
BB80,BA34,CAR,218,56,DSTRCT0,5.10,0.20
BB43,TC58,BUS,318,24,DSTRCT3,1.70,0.08
JD31,JD59,BUS,87,36,DSTRCT1,0.70,0.08
TC34,JC25,CAR,50,74,DSTRCT3,1.57,0.20
BB80,BA83,BUS,387,20,DSTRCT6,1.72,0.08
BB76,TC37,BUS,498,26,DSTRCT5,2.88,0.08
JD20,JD87,BUS,360,21,DSTRCT9,1.68,0.08
TC28,JC64,CAR,138,64,DSTRCT6,3.69,0.20
JC20,BA64,CAR,30,74,DSTRCT1,0.95,0.20
TC46,JD07,BUS,225,36,DSTRCT9,1.81,0.08
JD70,BB50,CAR,89,57,DSTRCT1,2.13,0.20
JC23,BB33,CAR,95,67,DSTRCT9,2.66,0.20
JC37,BA88,BUS,82,37,DSTRCT7,0.68,0.08
BA46,TC11,BUS,214,28,DSTRCT1,1.33,0.08
JD73,BA28,BUS,553,27,DSTRCT4,3.32,0.08
BB46,BA78,BUS,171,35,DSTRCT8,1.34,0.08
BA60,TC00,BUS,259,34,DSTRCT4,1.96,0.08
JD91,BB60,CAR,102,62,DSTRCT7,2.64,0.20
JD51,BA52,BUS,316,33,DSTRCT3,2.32,0.08
BA56,JC61,BUS,137,25,DSTRCT2,0.76,0.08
BA20,JD55,CAR,239,58,DSTRCT2,5.80,0.20
TC55,BB96,BUS,387,34,DSTRCT9,2.93,0.08
JD22,BB15,CAR,48,75,DSTRCT6,1.52,0.20
TC82,JD07,BUS,222,26,DSTRCT6,1.29,0.08
BA90,BB25,CAR,86,68,DSTRCT6,2.46,0.20
BB78,BA50,CAR,190,55,DSTRCT2,4.36,0.20
BB54,BA71,CAR,169,40,DSTRCT0,2.82,0.20
BB15,TC35,CAR,112,64,DSTRCT4,3.00,0.20
BB45,JC55,BUS,211,25,DSTRCT7,1.18,0.08
JD12,TC14,BUS,578,20,DSTRCT7,2.57,0.08
TC67,JD23,BUS,350,22,DSTRCT2,1.71,0.08
JC72,JC53,CAR,49,43,DSTRCT9,0.90,0.20
TC25,JD18,BUS,291,38,DSTRCT1,2.46,0.08
JD99,TC34,BUS,489,38,DSTRCT5,4.13,0.08
BA23,JC02,BUS,25,31,DSTRCT3,0.17,0.08
JD74,BA37,BUS,441,32,DSTRCT9,3.14,0.08
TC22,BB89,CAR,231,69,DSTRCT4,6.65,0.20
BA07,JD73,BUS,534,32,DSTRCT8,3.80,0.08
JD45,BB44,BUS,93,32,DSTRCT2,0.66,0.08
BB27,JD12,BUS,36,35,DSTRCT7,0.28,0.08
BB78,BA86,CAR,97,76,DSTRCT5,3.08,0.20
JD25,JD69,CAR,65,76,DSTRCT5,2.07,0.20
TC35,JD36,CAR,154,77,DSTRCT9,4.95,0.20
TC84,BA82,CAR,45,43,DSTRCT2,0.81,0.20
JC20,BB14,CAR,99,55,DSTRCT1,2.27,0.20
JD79,BA65,BUS,515,23,DSTRCT1,2.63,0.08
JD46,TC99,CAR,127,55,DSTRCT5,2.93,0.20
TC25,JC78,BUS,384,28,DSTRCT2,2.40,0.08
BA21,BA61,CAR,64,70,DSTRCT2,1.89,0.20
TC21,BA30,CAR,70,44,DSTRCT6,1.30,0.20
BB19,BA11,CAR,188,46,DSTRCT7,3.61,0.20
JD99,BB19,BUS,565,21,DSTRCT6,2.64,0.08
BB61,BA97,BUS,255,23,DSTRCT2,1.30,0.08
BB66,BB56,CAR,17,65,DSTRCT5,0.47,0.20
JD49,BB44,BUS,126,27,DSTRCT2,0.76,0.08
BB96,BA55,CAR,249,47,DSTRCT7,4.89,0.20
BA21,TC08,CAR,77,46,DSTRCT5,1.48,0.20
JC62,JD93,CAR,182,59,DSTRCT4,4.48,0.20
BA15,JC33,BUS,125,39,DSTRCT4,1.08,0.08
JC97,JD46,CAR,97,58,DSTRCT1,2.36,0.20
TC08,JC04,BUS,206,21,DSTRCT3,0.96,0.08
TC84,BA97,BUS,98,36,DSTRCT8,0.79,0.08
JD52,TC44,CAR,251,50,DSTRCT9,5.24,0.20
BA72,BA13,BUS,215,31,DSTRCT5,1.48,0.08
TC23,JD63,CAR,234,68,DSTRCT7,6.63,0.20
JD37,JC44,BUS,372,20,DSTRCT0,1.66,0.08
JD88,BA63,CAR,315,41,DSTRCT4,5.38,0.20
TC90,BB57,BUS,269,23,DSTRCT0,1.38,0.08
BB39,JC76,CAR,87,59,DSTRCT3,2.16,0.20
BB27,TC22,BUS,256,37,DSTRCT7,2.11,0.08
JC41,JD90,CAR,158,79,DSTRCT6,5.23,0.20
BB84,BA96,BUS,182,39,DSTRCT4,1.58,0.08
BB15,JD20,BUS,114,30,DSTRCT5,0.76,0.08
JC32,TC46,BUS,100,32,DSTRCT4,0.71,0.08
BB53,BB38,CAR,25,67,DSTRCT4,0.71,0.20
JD13,JC16,CAR,189,41,DSTRCT4,3.23,0.20
BA35,JD16,CAR,174,51,DSTRCT9,3.71,0.20
BB30,BB98,BUS,349,22,DSTRCT3,1.71,0.08
JC80,JD12,BUS,250,24,DSTRCT2,1.34,0.08
BB52,JD59,CAR,51,71,DSTRCT7,1.52,0.20
TC88,TC78,CAR,14,76,DSTRCT2,0.47,0.20
JC96,BB51,BUS,219,25,DSTRCT0,1.22,0.08
TC47,JD90,CAR,369,44,DSTRCT2,6.77,0.20
BA38,JC67,BUS,203,30,DSTRCT7,1.36,0.08
JC85,JC46,BUS,119,37,DSTRCT3,0.98,0.08
TC76,JD50,BUS,402,23,DSTRCT5,2.06,0.08
TC00,BB77,CAR,233,73,DSTRCT3,7.10,0.20
BB21,TC47,CAR,97,69,DSTRCT6,2.80,0.20
BA63,BB01,CAR,89,65,DSTRCT0,2.42,0.20
JD03,JD80,CAR,138,63,DSTRCT3,3.63,0.20
JC10,JD89,BUS,504,31,DSTRCT6,3.48,0.08
BB51,JD67,CAR,89,52,DSTRCT0,1.94,0.20
JC29,TC57,BUS,43,37,DSTRCT3,0.36,0.08
JD08,JC07,CAR,126,64,DSTRCT0,3.36,0.20
TC62,BA00,CAR,68,74,DSTRCT1,2.13,0.20
TC67,BB98,BUS,346,35,DSTRCT3,2.70,0.08
JD33,BB27,BUS,117,30,DSTRCT7,0.79,0.08
BB45,BB85,BUS,161,28,DSTRCT0,1.01,0.08
BA61,JD13,CAR,98,71,DSTRCT6,2.91,0.20
TC75,BA27,BUS,111,32,DSTRCT3,0.79,0.08
TC68,JC08,CAR,33,61,DSTRCT1,0.84,0.20
BA19,JD10,CAR,139,70,DSTRCT3,4.06,0.20
TC25,JD17,BUS,322,34,DSTRCT9,2.44,0.08
BB50,JD31,BUS,25,36,DSTRCT8,0.20,0.08
JD52,JD36,BUS,75,24,DSTRCT1,0.40,0.08
JD22,BB51,CAR,17,47,DSTRCT8,0.34,0.20
BA51,JD99,CAR,203,75,DSTRCT4,6.35,0.20
BB92,JD61,BUS,38,25,DSTRCT8,0.21,0.08
TC29,BB13,CAR,188,40,DSTRCT8,3.15,0.20
JC00,TC51,BUS,45,22,DSTRCT5,0.22,0.08
TC52,BA85,BUS,192,30,DSTRCT2,1.28,0.08
BA70,JC88,CAR,63,77,DSTRCT7,2.03,0.20
BA27,BB70,BUS,397,30,DSTRCT6,2.65,0.08
JC65,JD59,BUS,235,32,DSTRCT9,1.67,0.08
JD37,JD45,BUS,43,21,DSTRCT3,0.20,0.08
JD11,JD70,BUS,238,28,DSTRCT2,1.48,0.08
JD51,BB62,CAR,39,43,DSTRCT9,0.70,0.20
BB07,JD42,BUS,199,34,DSTRCT6,1.51,0.08
BA02,TC21,CAR,16,53,DSTRCT1,0.36,0.20
JD58,BB30,CAR,115,52,DSTRCT5,2.50,0.20
TC72,JD27,BUS,347,22,DSTRCT6,1.70,0.08
JC19,BB01,CAR,126,40,DSTRCT4,2.11,0.20
JD02,JC61,BUS,229,25,DSTRCT2,1.28,0.08
BB15,JC29,CAR,84,61,DSTRCT2,2.15,0.20
TC47,JC57,CAR,123,48,DSTRCT8,2.46,0.20
TC65,TC24,CAR,79,58,DSTRCT9,1.93,0.20
BB57,TC87,CAR,87,73,DSTRCT1,2.67,0.20
JC16,JC00,BUS,54,33,DSTRCT7,0.40,0.08
BA51,BB28,BUS,183,35,DSTRCT5,1.43,0.08
TC48,JD26,BUS,385,25,DSTRCT8,2.14,0.08
JD33,BB80,BUS,108,24,DSTRCT6,0.58,0.08
TC57,JD44,CAR,132,79,DSTRCT1,4.37,0.20
BA01,BA21,CAR,46,49,DSTRCT2,0.94,0.20
JC36,JD71,BUS,293,38,DSTRCT0,2.48,0.08
BB14,TC52,CAR,81,72,DSTRCT7,2.44,0.20
TC04,TC88,BUS,256,37,DSTRCT2,2.11,0.08
JC78,BB79,CAR,98,59,DSTRCT7,2.42,0.20
JD07,TC59,CAR,120,59,DSTRCT5,2.96,0.20
JD28,JD81,BUS,214,28,DSTRCT3,1.33,0.08
TC95,BA59,CAR,41,54,DSTRCT6,0.94,0.20
TC54,BA43,BUS,53,21,DSTRCT8,0.25,0.08
BB23,BA75,CAR,79,71,DSTRCT7,2.36,0.20
JD70,BA78,CAR,138,71,DSTRCT3,4.10,0.20
TC72,BB71,BUS,278,32,DSTRCT9,1.98,0.08
JC36,JD41,BUS,323,26,DSTRCT1,1.87,0.08
JC99,BA45,CAR,133,67,DSTRCT8,3.72,0.20
JC95,JD14,BUS,201,33,DSTRCT2,1.48,0.08
BB42,JC64,BUS,209,24,DSTRCT4,1.12,0.08
BB96,BA94,CAR,108,75,DSTRCT2,3.40,0.20
BA77,JD90,CAR,172,68,DSTRCT3,4.90,0.20
JD44,BB27,BUS,176,27,DSTRCT0,1.06,0.08
JC02,JD57,BUS,375,35,DSTRCT7,2.92,0.08
JD93,TC04,CAR,385,55,DSTRCT5,8.84,0.20
JD13,TC37,BUS,248,38,DSTRCT6,2.10,0.08
BA32,TC01,CAR,79,70,DSTRCT5,2.31,0.20
BB55,BB85,BUS,94,36,DSTRCT9,0.75,0.08
TC99,JD50,CAR,126,58,DSTRCT5,3.05,0.20
TC11,BB53,CAR,204,65,DSTRCT5,5.53,0.20
BA70,JC13,BUS,185,20,DSTRCT1,0.82,0.08
JD93,BA12,BUS,748,25,DSTRCT9,4.16,0.08
JC83,BA23,CAR,174,55,DSTRCT1,4.00,0.20
BA47,BB33,BUS,211,33,DSTRCT6,1.55,0.08
BB88,BA72,BUS,390,24,DSTRCT1,2.08,0.08
BB25,JC56,CAR,88,57,DSTRCT7,2.10,0.20
JD12,BB12,BUS,119,24,DSTRCT2,0.64,0.08
TC15,JC89,BUS,411,32,DSTRCT6,2.92,0.08
BA37,TC68,CAR,35,49,DSTRCT4,0.73,0.20
BB28,JC58,BUS,173,29,DSTRCT9,1.12,0.08
BB35,BA93,CAR,97,59,DSTRCT3,2.39,0.20
BB41,JD89,BUS,235,35,DSTRCT8,1.83,0.08
JD46,JD77,BUS,125,28,DSTRCT3,0.78,0.08
BA25,JD71,BUS,385,39,DSTRCT8,3.34,0.08
JD62,BA85,BUS,277,31,DSTRCT7,1.91,0.08
JD88,JC04,BUS,599,27,DSTRCT8,3.59,0.08
TC30,BB39,CAR,176,56,DSTRCT6,4.12,0.20
JC22,TC26,BUS,114,38,DSTRCT3,0.96,0.08
BA47,TC90,BUS,88,34,DSTRCT9,0.67,0.08
BB09,JD48,BUS,233,31,DSTRCT0,1.61,0.08
BB57,BA37,CAR,140,69,DSTRCT1,4.05,0.20
BA66,BA22,CAR,103,48,DSTRCT9,2.07,0.20
JD86,JC76,BUS,275,32,DSTRCT4,1.96,0.08
JD86,JD09,BUS,378,23,DSTRCT2,1.94,0.08
JC29,TC18,BUS,162,37,DSTRCT7,1.34,0.08
JD52,JC87,CAR,137,43,DSTRCT2,2.46,0.20
TC46,TC55,BUS,50,20,DSTRCT7,0.23,0.08
BA46,JC12,BUS,35,35,DSTRCT3,0.27,0.08
BA82,BA93,CAR,17,70,DSTRCT4,0.52,0.20
JC20,JD00,CAR,85,77,DSTRCT5,2.75,0.20
BB24,TC98,BUS,124,39,DSTRCT6,1.08,0.08
JC28,TC92,BUS,107,23,DSTRCT6,0.55,0.08
BB06,BB20,CAR,22,69,DSTRCT2,0.66,0.20
BB49,BA99,BUS,145,39,DSTRCT5,1.26,0.08
BA64,JC16,BUS,71,38,DSTRCT0,0.60,0.08
BB22,BA65,CAR,87,65,DSTRCT8,2.38,0.20
TC16,JC72,BUS,397,28,DSTRCT6,2.47,0.08
TC85,JC08,BUS,157,25,DSTRCT3,0.87,0.08
BA60,TC03,BUS,282,30,DSTRCT5,1.88,0.08
JC07,JC21,CAR,23,66,DSTRCT3,0.66,0.20
JC66,JC95,BUS,96,34,DSTRCT1,0.73,0.08
TC30,JC15,CAR,77,40,DSTRCT2,1.29,0.20
BA83,JC08,BUS,158,36,DSTRCT1,1.27,0.08
BA18,JC96,CAR,291,40,DSTRCT9,4.85,0.20
JD94,TC40,BUS,621,28,DSTRCT4,3.87,0.08
JD74,TC89,BUS,429,24,DSTRCT1,2.29,0.08
BB46,BB62,CAR,35,51,DSTRCT5,0.75,0.20
JD29,JC64,CAR,111,53,DSTRCT6,2.46,0.20
TC41,JC81,BUS,300,31,DSTRCT2,2.07,0.08
JD02,TC38,BUS,261,32,DSTRCT2,1.86,0.08
TC35,JD82,BUS,694,24,DSTRCT9,3.70,0.08
TC28,BA60,BUS,166,34,DSTRCT0,1.26,0.08
TC98,JD68,CAR,207,43,DSTRCT9,3.71,0.20
JC97,JC61,CAR,101,40,DSTRCT2,1.70,0.20
JC84,BB18,CAR,126,54,DSTRCT9,2.84,0.20
JC73,BB69,CAR,123,45,DSTRCT7,2.31,0.20
JD57,JC47,BUS,267,33,DSTRCT0,1.96,0.08
JD52,JC59,BUS,338,22,DSTRCT5,1.66,0.08
BA86,TC80,BUS,103,27,DSTRCT1,0.62,0.08
JD16,TC62,CAR,142,53,DSTRCT4,3.15,0.20
JD74,BB32,CAR,164,46,DSTRCT0,3.16,0.20
TC44,BB39,BUS,356,24,DSTRCT0,1.90,0.08
JC92,BA32,CAR,157,61,DSTRCT9,4.00,0.20
BB72,BB96,BUS,96,28,DSTRCT1,0.60,0.08
JD39,BA45,CAR,227,44,DSTRCT7,4.17,0.20
BB15,JC33,BUS,144,35,DSTRCT7,1.13,0.08
BB87,TC30,CAR,270,55,DSTRCT4,6.20,0.20
JC55,BB92,CAR,112,77,DSTRCT4,3.60,0.20
JD87,BB73,BUS,164,27,DSTRCT1,0.98,0.08
BA27,JD73,CAR,319,47,DSTRCT7,6.27,0.20
JC85,BB21,CAR,138,48,DSTRCT5,2.77,0.20
BB19,TC32,CAR,150,52,DSTRCT0,3.26,0.20
JC45,JC70,CAR,68,41,DSTRCT7,1.18,0.20
JD13,JC92,BUS,172,38,DSTRCT3,1.45,0.08
JD55,JD32,CAR,44,59,DSTRCT1,1.08,0.20
JD78,JC75,CAR,122,67,DSTRCT4,3.43,0.20
BB74,TC66,CAR,181,54,DSTRCT1,4.08,0.20
JC49,JD35,CAR,114,61,DSTRCT7,2.90,0.20
BA08,JC62,CAR,116,77,DSTRCT7,3.72,0.20
TC29,TC71,BUS,139,34,DSTRCT5,1.06,0.08
JD33,BA17,CAR,167,72,DSTRCT6,5.02,0.20
JC78,JD54,BUS,318,20,DSTRCT4,1.42,0.08
BA89,BB45,BUS,247,23,DSTRCT2,1.27,0.08
TC74,JD15,CAR,92,72,DSTRCT5,2.76,0.20
TC32,JD80,CAR,294,57,DSTRCT9,6.99,0.20
BB14,BA31,BUS,199,34,DSTRCT9,1.51,0.08
BA65,JD12,BUS,307,22,DSTRCT5,1.50,0.08
JD00,TC06,CAR,186,60,DSTRCT7,4.66,0.20
BB76,BB02,CAR,123,68,DSTRCT3,3.49,0.20
JD69,JD82,BUS,42,35,DSTRCT6,0.33,0.08
BB56,BA15,CAR,160,73,DSTRCT7,4.89,0.20
JD93,JC66,BUS,451,23,DSTRCT0,2.31,0.08
JC92,BB60,BUS,133,38,DSTRCT2,1.13,0.08
BB82,BB10,CAR,121,67,DSTRCT7,3.39,0.20
JC45,JC79,BUS,160,24,DSTRCT5,0.85,0.08
TC89,BB13,BUS,233,21,DSTRCT0,1.09,0.08
TC15,BA66,CAR,144,54,DSTRCT2,3.25,0.20
JC32,JC70,CAR,56,76,DSTRCT0,1.79,0.20
TC14,TC04,CAR,26,43,DSTRCT7,0.47,0.20
BB49,JC07,CAR,140,65,DSTRCT7,3.79,0.20
BA48,JC81,BUS,262,25,DSTRCT9,1.46,0.08
BA02,JD23,CAR,202,62,DSTRCT3,5.22,0.20
TC08,BB79,CAR,390,42,DSTRCT3,6.83,0.20
BB13,JC21,CAR,130,41,DSTRCT8,2.24,0.20
BB27,BA00,BUS,432,24,DSTRCT4,2.31,0.08
BA34,TC06,CAR,102,51,DSTRCT4,2.17,0.20
BB03,JC83,CAR,137,58,DSTRCT4,3.32,0.20
JC17,BB26,BUS,210,30,DSTRCT6,1.41,0.08
BA45,BB67,BUS,300,33,DSTRCT0,2.20,0.08
JC92,TC13,CAR,221,62,DSTRCT1,5.72,0.20
BA63,BB71,CAR,141,61,DSTRCT5,3.61,0.20
BB19,JD61,CAR,172,44,DSTRCT2,3.16,0.20
JD68,TC40,BUS,637,23,DSTRCT5,3.26,0.08
BA74,TC07,CAR,123,78,DSTRCT5,4.00,0.20
BB02,JC41,CAR,70,74,DSTRCT4,2.19,0.20
TC01,JD70,CAR,380,50,DSTRCT4,7.93,0.20
BA85,JC64,CAR,12,61,DSTRCT5,0.32,0.20
BB01,BB57,BUS,253,25,DSTRCT5,1.41,0.08
BB59,BA32,BUS,314,33,DSTRCT9,2.31,0.08
BA47,JD74,CAR,298,44,DSTRCT3,5.47,0.20
JD35,TC46,BUS,314,34,DSTRCT4,2.37,0.08
BA31,BA49,CAR,36,56,DSTRCT6,0.85,0.20
JC87,BA60,CAR,90,65,DSTRCT1,2.45,0.20
BB51,BB36,BUS,84,20,DSTRCT4,0.38,0.08
JD37,BB56,BUS,45,20,DSTRCT1,0.20,0.08
TC63,TC43,BUS,80,28,DSTRCT8,0.50,0.08
JC06,TC87,CAR,81,54,DSTRCT5,1.83,0.20
BA12,BB09,CAR,100,77,DSTRCT2,3.23,0.20
BA05,TC44,CAR,46,55,DSTRCT6,1.07,0.20
BA54,BA31,BUS,96,27,DSTRCT9,0.58,0.08
JC15,BB18,BUS,197,30,DSTRCT5,1.32,0.08
JD43,BA84,BUS,245,30,DSTRCT1,1.64,0.08
TC53,TC74,BUS,64,37,DSTRCT3,0.53,0.08
BB27,JD41,BUS,113,39,DSTRCT6,0.98,0.08
BA32,TC69,BUS,90,26,DSTRCT8,0.53,0.08
TC80,TC69,CAR,16,74,DSTRCT0,0.52,0.20
BB64,JD99,CAR,119,57,DSTRCT3,2.83,0.20
TC52,JD15,BUS,259,32,DSTRCT1,1.84,0.08
JC14,BA47,CAR,18,61,DSTRCT2,0.47,0.20
BB52,JC06,BUS,412,23,DSTRCT3,2.11,0.08
BB32,BB54,CAR,36,68,DSTRCT7,1.04,0.20
JD38,JC11,CAR,241,43,DSTRCT7,4.32,0.20
BB03,JD31,BUS,153,39,DSTRCT8,1.33,0.08
BA51,JC71,BUS,231,22,DSTRCT8,1.13,0.08
JD99,BB93,CAR,66,53,DSTRCT4,1.47,0.20
JD10,BB24,CAR,28,48,DSTRCT4,0.57,0.20
BA50,TC85,BUS,93,23,DSTRCT0,0.48,0.08
BB88,JC41,CAR,121,79,DSTRCT2,3.99,0.20
JC30,JD56,BUS,354,29,DSTRCT9,2.29,0.08
TC63,JC29,CAR,18,51,DSTRCT6,0.40,0.20
TC42,TC68,BUS,84,35,DSTRCT6,0.65,0.08
JD23,TC38,BUS,411,25,DSTRCT0,2.29,0.08
BB31,JD15,BUS,49,24,DSTRCT1,0.26,0.08
JC70,BA25,CAR,101,78,DSTRCT5,3.30,0.20
JC01,JC60,CAR,130,51,DSTRCT4,2.78,0.20
BA69,JC20,CAR,49,57,DSTRCT4,1.18,0.20
TC53,BA46,CAR,19,75,DSTRCT7,0.61,0.20
BA79,BA86,CAR,11,66,DSTRCT8,0.33,0.20
JC41,JD93,BUS,611,21,DSTRCT6,2.85,0.08
JD48,TC33,BUS,369,36,DSTRCT1,2.96,0.08
BB98,JD02,CAR,122,66,DSTRCT0,3.37,0.20
JD69,BA89,BUS,327,27,DSTRCT5,1.96,0.08
BB77,BA38,CAR,183,63,DSTRCT1,4.81,0.20
BA23,BB43,CAR,127,76,DSTRCT5,4.05,0.20
BB36,BA67,CAR,151,40,DSTRCT9,2.52,0.20
BB29,JC97,BUS,224,31,DSTRCT0,1.55,0.08
JD44,BB55,CAR,35,47,DSTRCT2,0.70,0.20
BB10,TC81,BUS,172,28,DSTRCT3,1.07,0.08
JC61,JC26,BUS,141,28,DSTRCT8,0.88,0.08
JC60,BA80,CAR,20,41,DSTRCT3,0.35,0.20
BB96,JC20,BUS,567,22,DSTRCT9,2.78,0.08
BA50,TC36,CAR,70,52,DSTRCT1,1.53,0.20
TC54,BB92,BUS,476,27,DSTRCT7,2.86,0.08
TC01,BA76,CAR,159,66,DSTRCT3,4.38,0.20
JC29,BB95,CAR,191,60,DSTRCT2,4.78,0.20
BB10,BB88,BUS,352,25,DSTRCT0,1.96,0.08
BA11,BB46,CAR,214,52,DSTRCT9,4.65,0.20
BB58,BA83,BUS,243,26,DSTRCT2,1.40,0.08
BA32,JD73,CAR,296,49,DSTRCT7,6.05,0.20
JC22,TC14,BUS,158,36,DSTRCT8,1.26,0.08
JD54,BA03,CAR,299,52,DSTRCT0,6.48,0.20
BA80,JD77,CAR,133,77,DSTRCT4,4.28,0.20
JC61,TC90,CAR,24,62,DSTRCT6,0.63,0.20
JD55,BB22,BUS,218,30,DSTRCT0,1.46,0.08
JC31,TC57,BUS,59,31,DSTRCT2,0.41,0.08
BB33,JD76,BUS,226,34,DSTRCT9,1.71,0.08
JD11,BA31,CAR,184,48,DSTRCT4,3.68,0.20
TC82,BA50,BUS,48,38,DSTRCT0,0.41,0.08
JD24,JD33,CAR,14,70,DSTRCT9,0.42,0.20
BB11,BA10,BUS,207,39,DSTRCT0,1.79,0.08
BB92,JD79,BUS,56,26,DSTRCT2,0.33,0.08
JC72,JC35,CAR,95,44,DSTRCT0,1.74,0.20
TC26,JD74,BUS,729,23,DSTRCT1,3.73,0.08
BB73,BB54,BUS,107,20,DSTRCT7,0.48,0.08
JC79,JD86,BUS,285,30,DSTRCT3,1.90,0.08
JC63,BB27,BUS,245,21,DSTRCT4,1.15,0.08
JD41,TC63,CAR,133,72,DSTRCT6,4.01,0.20
BB48,BA29,CAR,145,66,DSTRCT2,4.01,0.20
BA16,BB71,BUS,505,26,DSTRCT9,2.92,0.08
BA75,BA33,CAR,66,71,DSTRCT1,1.98,0.20
JD96,BB96,CAR,44,65,DSTRCT0,1.20,0.20
BB46,JC39,BUS,158,39,DSTRCT2,1.38,0.08
JC81,TC96,BUS,106,29,DSTRCT8,0.69,0.08
JC39,BA70,BUS,34,28,DSTRCT6,0.21,0.08
JC16,JC70,CAR,84,72,DSTRCT7,2.55,0.20
JD79,BB85,BUS,100,22,DSTRCT2,0.49,0.08
JC77,BB69,BUS,214,25,DSTRCT6,1.19,0.08
JC87,TC35,BUS,355,30,DSTRCT3,2.37,0.08
TC75,JD50,CAR,124,75,DSTRCT1,3.90,0.20
TC53,JD72,BUS,472,29,DSTRCT4,3.05,0.08
BB66,JC49,BUS,288,24,DSTRCT4,1.54,0.08
BA82,TC03,BUS,391,28,DSTRCT2,2.43,0.08
JC75,TC34,CAR,165,57,DSTRCT1,3.93,0.20
BB02,BA38,BUS,195,30,DSTRCT5,1.30,0.08
TC29,BA16,CAR,21,46,DSTRCT2,0.41,0.20
BB99,TC22,BUS,655,26,DSTRCT1,3.79,0.08
TC12,JC85,BUS,372,35,DSTRCT2,2.90,0.08
TC82,BB81,CAR,182,49,DSTRCT0,3.72,0.20
JC47,TC32,CAR,108,60,DSTRCT6,2.70,0.20
JD10,TC97,CAR,73,75,DSTRCT7,2.29,0.20
JC32,JC02,CAR,52,65,DSTRCT3,1.41,0.20
BA63,TC00,BUS,269,34,DSTRCT5,2.03,0.08
TC64,JC53,CAR,45,77,DSTRCT7,1.48,0.20
JC80,TC06,BUS,453,29,DSTRCT9,2.92,0.08
JD91,BA96,BUS,480,21,DSTRCT7,2.24,0.08
JC62,JD30,CAR,130,46,DSTRCT4,2.50,0.20
BB64,BA02,BUS,533,26,DSTRCT6,3.08,0.08
BB22,BA14,BUS,412,21,DSTRCT2,1.92,0.08
TC87,BA58,CAR,27,57,DSTRCT8,0.65,0.20
BB80,JD39,CAR,27,70,DSTRCT4,0.81,0.20
BB76,BA65,CAR,193,46,DSTRCT4,3.72,0.20
JD64,JD23,CAR,77,60,DSTRCT8,1.93,0.20
JC53,BA44,CAR,63,61,DSTRCT5,1.61,0.20
JD33,TC84,CAR,149,48,DSTRCT1,2.99,0.20
BB22,TC75,CAR,120,42,DSTRCT6,2.12,0.20
TC54,TC73,BUS,85,25,DSTRCT9,0.48,0.08
BB08,JC15,CAR,102,53,DSTRCT2,2.26,0.20
JC93,JD82,CAR,143,50,DSTRCT6,2.99,0.20
BB86,TC47,CAR,281,46,DSTRCT1,5.40,0.20
JC32,BB59,BUS,198,39,DSTRCT7,1.72,0.08
JD16,TC30,BUS,415,25,DSTRCT8,2.31,0.08
BB66,BA01,BUS,590,24,DSTRCT5,3.15,0.08
JD54,JC20,CAR,240,46,DSTRCT2,4.61,0.20
BA93,BA36,CAR,87,74,DSTRCT8,2.69,0.20
BB44,TC82,BUS,224,26,DSTRCT8,1.30,0.08
BA01,JC98,BUS,599,23,DSTRCT7,3.06,0.08
JD48,JC63,BUS,246,28,DSTRCT1,1.53,0.08
BA19,BB67,BUS,365,34,DSTRCT3,2.76,0.08
TC27,JD76,CAR,421,40,DSTRCT6,7.03,0.20
BA82,BA28,CAR,88,69,DSTRCT8,2.55,0.20
BA83,JC45,CAR,21,77,DSTRCT8,0.68,0.20
BA11,TC33,CAR,15,63,DSTRCT2,0.41,0.20
JD65,JC79,CAR,118,59,DSTRCT6,2.90,0.20
TC34,BB81,BUS,445,31,DSTRCT2,3.07,0.08
BB03,BB79,BUS,318,27,DSTRCT5,1.91,0.08
BA17,JC88,CAR,212,51,DSTRCT2,4.52,0.20
TC29,BB51,CAR,200,56,DSTRCT4,4.67,0.20
JD93,TC63,BUS,550,27,DSTRCT5,3.30,0.08
BB78,BB19,BUS,267,25,DSTRCT5,1.48,0.08
JD96,TC07,CAR,365,58,DSTRCT2,8.84,0.20
JD05,JC68,CAR,100,58,DSTRCT4,2.44,0.20
JD97,TC69,BUS,505,29,DSTRCT1,3.26,0.08
JD09,JC53,BUS,237,24,DSTRCT1,1.27,0.08
BA11,JD20,BUS,324,35,DSTRCT7,2.53,0.08
